,Contributors,Coordinates,Created_At,Favorited,Followers_Count,Friends_Count,Geo,Location,Place,Retweet_Count,Retweeted,Screen_Name,Source,Truncated,Tweet,TweetId,UserId
64,,,2018-01-25 16:26:02,0.0,453.0,195.0,,rawr dinosaur™,,2710.0,0.0,thanoscanchoke,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56563822449496e+17,8.857175365784494e+17
65,,,2018-01-25 16:25:08,0.0,97.0,81.0,,,,2710.0,0.0,YJCMYS,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565635959821271e+17,205823473.0
66,,,2018-01-25 16:24:55,0.0,1755.0,1044.0,,STARK INDUSTRIES,,2710.0,0.0,pawraccoon,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565635438677975e+17,3364523866.0
67,,,2018-01-25 16:24:06,0.0,26.0,64.0,,,,0.0,0.0,faenarciso,Twitter for Android,0.0,Oh that's a crown? I thought it was a big eyebrow. ? #ThorRagnarok,9.565633397227028e+17,3299983280.0
68,,,2018-01-25 16:24:02,0.0,2263.0,923.0,,,,2710.0,0.0,Writerchick10,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565633198291681e+17,2410533283.0
69,,,2018-01-25 16:23:36,0.0,51.0,466.0,,,,2710.0,0.0,mintsugar_2017,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56563210714284e+17,8.861844227723223e+17
70,,,2018-01-25 16:23:21,0.0,228.0,279.0,,,,2710.0,0.0,NathalyBrunna,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565631495740334e+17,2693012579.0
71,,,2018-01-25 16:23:14,0.0,29.0,340.0,,,,2710.0,0.0,CW_HUANG04,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565631212791808e+17,753493406.0
72,,,2018-01-25 16:23:04,0.0,35.0,243.0,,,,2710.0,0.0,babyLilacia,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565630770628035e+17,2552951131.0
73,,,2018-01-25 16:22:48,0.0,83.0,89.0,,"Bangkok, Thailand",,2710.0,0.0,hhtttaa,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565630109060424e+17,176037621.0
